1	2
4753	3
1083	4
1114	5
156	6
925	8
1060	9
180	10
150	11
4301	12
12	13
1944	14
3845	15
968	16
67	17
168	18
3476	19
2397	21
2393	22
5103	24
23	25
5278	26
522	28
3998	29
1626	30
382	31
1047	32
3536	33
2486	34
136	35
34	36
6079	37
451	39
1891	40
1381	42
3046	43
4735	44
729	46
45	47
3540	48
1357	49
990	50
4103	51
4784	52
1840	54
5348	55
4806	56
527	57
3976	58
56	59
879	60
1924	61
1362	63
2677	64
2493	65
5609	66
1306	68
4629	69
1042	70
2640	72
6047	74
5832	76
6109	77
997	78
6024	79
77	80
532	81
336	82
326	83
1753	84
1534	86
2134	87
607	88
88	89
1658	90
65	92
289	93
685	94
3012	95
1003	96
2408	97
3310	98
1026	100
99	101
2511	102
1606	103
4293	104
3370	105
4794	106
806	107
2224	108
166	109
5942	111
110	112
4534	113
3127	114
5025	115
4755	116
3716	117
356	118
3734	119
2069	120
4501	121
1095	122
145	123
121	124
31	125
506	126
587	127
436	128
426	129
16	130
5906	131
2089	132
126	133
5630	134
4074	135
131	136
5229	137
1324	138
989	139
195	140
1523	141
4865	142
175	143
102	144
299	145
124	146
752	147
1030	148
372	149
857	150
142	151
4630	152
728	153
5059	154
152	155
3616	156
4223	157
1735	158
1475	159
2853	160
1856	162
1142	163
5493	164
1135	165
1219	166
163	167
719	168
227	169
6267	170
1973	171
2582	172
1959	173
1439	174
37	175
763	176
606	177
10	178
174	179
346	180
910	181
999	182
229	183
991	184
1085	185
182	186
6246	188
1404	189
76	191
1693	192
510	194
193	195
3700	196
4175	197
1637	198
198	199
4634	200
3002	201
5161	202
4205	203
5590	204
3914	205
710	206
5573	207
1383	209
2000	210
209	211
5084	212
4893	213
6142	214
1467	215
2460	216
648	217
301	219
3920	220
219	221
1454	222
1686	223
5539	224
4421	225
706	227
3550	228
1235	229
5169	230
4827	231
580	232
1611	235
6016	236
237	238
450	239
2325	241
5524	242
2570	244
2848	245
370	247
410	248
392	249
344	250
920	251
486	252
315	253
134	254
254	255
5203	256
3791	257
3245	258
5	259
1337	261
2389	262
1652	263
3121	264
368	265
146	266
575	267
3203	268
4140	269
264	270
1819	271
1795	272
2472	273
271	274
6294	275
1835	276
1849	277
1398	280
280	281
1676	282
2227	283
3136	284
5891	286
3772	287
3410	289
2097	290
865	291
290	292
5222	293
3572	294
3229	295
5506	296
2922	297
1650	298
4190	299
4814	301
6140	302
1014	303
1535	304
3529	306
875	308
3118	309
2487	310
286	312
311	313
1391	314
979	315
4687	316
3208	319
3248	322
322	323
630	324
109	325
4217	326
1401	327
3677	328
351	330
2475	331
3334	332
332	333
3130	335
930	336
946	337
2884	338
1567	339
4391	340
1627	341
341	342
3802	343
3481	344
4141	345
2962	346
4229	347
473	348
5083	349
4974	351
993	352
505	353
6	354
2822	355
352	356
4840	357
2608	358
5097	360
1125	361
361	362
5061	364
2867	365
4759	366
754	368
178	369
367	370
4192	371
6153	372
371	373
1570	374
5941	377
1340	378
300	379
5433	380
2904	381
4422	382
2254	383
4034	386
1334	387
4079	388
2578	389
653	390
422	391
5225	392
391	393
3061	394
2876	397
2504	398
2832	399
4721	401
2280	402
400	403
636	405
1563	406
727	407
1734	408
621	410
411	412
1174	413
3223	414
3834	415
5426	416
4694	417
3361	419
5598	420
3024	421
931	423
402	424
721	425
3934	426
647	427
148	428
4201	430
429	431
2378	433
4733	434
1092	435
1342	436
5794	437
4246	438
5458	439
6187	441
440	442
5657	443
6019	444
139	447
849	449
2044	450
2338	451
2429	452
3285	453
1163	454
1528	455
3345	456
6064	457
4668	459
4058	460
798	461
459	462
3409	463
2113	464
2711	465
1597	466
500	467
1109	468
1223	469
1714	470
2699	471
470	472
68	473
1671	474
6037	475
637	476
4022	477
1878	478
3803	479
720	480
3099	481
479	482
4729	484
2576	485
5937	486
1883	487
509	488
4444	490
1574	491
490	492
4313	493
4868	494
2939	495
4542	496
1118	497
3312	499
702	500
6050	501
1446	503
2385	504
4207	505
2598	506
3221	508
4857	509
4296	510
6125	511
1082	513
3930	514
3820	515
517	518
5074	519
491	521
5196	522
2377	523
5067	524
6124	525
1651	527
4417	528
3882	529
4724	530
529	531
757	532
612	533
3983	535
1166	536
761	537
1155	539
538	540
2348	541
877	542
3236	543
5208	545
4791	548
1542	549
